date,ticker,rsi,volatility,ma_spread,regime_id,sentiment,confidence,rag_signal,direction,probabilite,amplitude_predite
2026-02-23,AAPL,46.686193731778175,0.020436718740023,0.0014837288604744,2,bullish,0.7,buy,baisse,0.218,0.0006
2026-02-24,AAPL,52.45066967198041,0.0213426119529467,0.0010310301924609,2,bullish,0.7,buy,baisse,0.199,-0.0004
2026-02-25,AAPL,48.163678321576505,0.0202216750784147,0.001505148482963,2,bullish,0.7,buy,baisse,0.185,0.0006
2026-02-26,AAPL,47.55239458469962,0.020250627584233,0.0009269550412315,2,bullish,0.7,buy,baisse,0.185,0.0006
2026-02-27,AAPL,38.92488909225133,0.0217384169519464,0.0025809949493944,2,bullish,0.7,buy,baisse,0.226,-0.0003
2026-03-02,AAPL,41.6187106678565,0.0216451182620872,0.0066833749408795,2,bullish,0.7,buy,baisse,0.226,-0.0001
2026-03-03,AAPL,41.59758173472213,0.0216460925117035,0.0072299629032748,2,bullish,0.7,buy,baisse,0.226,-0.0001
2026-03-04,AAPL,38.90599087812759,0.021492220029772,0.0072551682977805,2,bullish,0.7,buy,baisse,0.226,-0.0003
2026-03-05,AAPL,48.4667803492099,0.0169239799442165,0.0081454473280209,2,bullish,0.7,buy,baisse,0.059,0.0001
2026-03-06,AAPL,51.91604619951104,0.0159832163428999,0.006461816374178,2,bullish,0.7,buy,baisse,0.075,0.0002
2026-03-09,AAPL,44.75892293051191,0.0135794207331633,0.005007004325882,2,bullish,0.7,buy,baisse,0.046,0.0
2026-03-10,AAPL,45.44511822379197,0.0136181802413551,0.001687096192357,2,bullish,0.7,buy,baisse,0.046,0.0
2026-03-11,AAPL,50.32962265487708,0.0130615480313463,-0.0024698530828876,2,bullish,0.7,buy,baisse,0.033,-0.0004
2026-03-12,AAPL,37.7295767496106,0.0132461081348604,-0.0076592696840245,2,bullish,0.7,buy,baisse,0.044,0.0
2026-03-13,AAPL,29.91498138261736,0.0139861654494607,-0.011297709496039,2,bullish,0.7,buy,baisse,0.124,0.0009
2026-03-16,AAPL,23.69282322259363,0.0125507965380119,-0.0144194198960579,2,bullish,0.7,buy,baisse,0.071,-0.0
2026-03-17,AAPL,22.25304932133569,0.0123967972596724,-0.0168107708873584,2,bullish,0.7,buy,baisse,0.041,-0.0
2026-03-18,AAPL,20.537773397906008,0.0127708383929225,-0.0203374197332308,2,bullish,0.7,buy,baisse,0.06,0.0001
2026-03-19,AAPL,25.655808323021645,0.0103621582976594,-0.0236874304638157,2,bullish,0.7,buy,baisse,0.016,-0.0003
2026-03-20,AAPL,23.603656525434104,0.0102081977936849,-0.0264105008371761,2,bullish,0.7,buy,baisse,0.029,-0.0
2026-03-23,AAPL,32.08649980090438,0.0113732738374345,-0.0290810716075849,2,bullish,0.7,buy,baisse,0.08,0.0005
2026-03-24,AAPL,33.584792028587415,0.0114127788085591,-0.0320481145822433,2,bullish,0.7,buy,baisse,0.057,0.0002
2026-03-25,AAPL,37.97425957275365,0.0114307660271767,-0.0346422871664226,2,bullish,0.7,buy,baisse,0.051,0.0001
2026-03-26,AAPL,42.20934787731981,0.0111661181123681,-0.0351574634288877,2,bullish,0.7,buy,baisse,0.037,0.0003
2026-03-27,AAPL,32.12900291541739,0.0113847556616736,-0.0348551506799311,2,bullish,0.7,buy,baisse,0.08,0.0004
2026-03-30,AAPL,27.96400589514513,0.0113045512740448,-0.0363942356959712,2,bullish,0.7,buy,baisse,0.043,0.0005
2026-03-31,AAPL,41.08230486975168,0.0143377918525413,-0.0364522094015596,2,bullish,0.7,buy,baisse,0.077,0.0003
2026-04-01,AAPL,49.82020788265706,0.0135818327328079,-0.034943501694759,2,bullish,0.7,buy,baisse,0.027,-0.0002
2026-04-02,AAPL,59.41559776607169,0.0120012190411867,-0.0329000819481024,2,bullish,0.7,buy,baisse,0.018,0.0017
2026-04-06,AAPL,59.7293625020524,0.0120429530859458,-0.0295251881959177,2,bullish,0.7,buy,baisse,0.018,0.0004
2026-02-23,TSLA,37.442862348340505,0.020341916047735,-0.0567501631562126,2,bearish,0.8,sell,baisse,0.203,0.0003
